concept_id_1,concept_name_1,concept_id_2,concept_name_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code
2617264,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)",4305729,Mental health functional therapies,Is a,2018-11-27,2099-12-31,NA,Observation,SNOMED,Procedure,S,390823002
2617264,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)",4327748,Activity therapy,Is a,2018-11-27,2099-12-31,NA,Procedure,SNOMED,Procedure,S,430884008
4305729,Mental health functional therapies,4192172,Mental health HRGs,Is a,2011-07-31,2099-12-31,NA,Observation,SNOMED,Procedure,S,391029008
4327748,Activity therapy,4172654,Recreational therapy,Is a,2011-07-31,2099-12-31,NA,Procedure,SNOMED,Procedure,S,42364006
3043003,Activity preferences - music [Minimum Data Set],36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
3043003,Activity preferences - music [Minimum Data Set],45876109,Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.MDS
36210656,Survey terms not yet categorized,36207528,Survey instruments,Is a,1970-01-01,2099-12-31,NA,Measurement,LOINC,LOINC Hierarchy,C,LP29696-9
45876109,Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey,45876096,Survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY
40757838,How important it is to listen to music you like while in this facility [CMS Assessment],36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40757838,How important it is to listen to music you like while in this facility [CMS Assessment],45876102,Centers for Medicare & Medicaid Services (CMS) survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.CMS
45876102,Centers for Medicare & Medicaid Services (CMS) survey,45876096,Survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY
40757859,Resident prefers listening to music [MDSv3],36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40757859,Resident prefers listening to music [MDSv3],45876109,Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.MDS
40758165,Total minutes of recreational and music therapy in last 7 days [CMS Assessment],36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40758165,Total minutes of recreational and music therapy in last 7 days [CMS Assessment],45876102,Centers for Medicare & Medicaid Services (CMS) survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.CMS
40758166,Number of days with at least 15 minutes of recreational and music therapy in last 7 days [CMS Assessment],36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40758166,Number of days with at least 15 minutes of recreational and music therapy in last 7 days [CMS Assessment],45876102,Centers for Medicare & Medicaid Services (CMS) survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.CMS
40758167,Deprecated Start date of recreational and music therapy MDSv3,36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40758167,Deprecated Start date of recreational and music therapy MDSv3,45876109,Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.MDS
40758168,Deprecated End date of recreational and music therapy MDSv3,36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40758168,Deprecated End date of recreational and music therapy MDSv3,45876109,Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.MDS
40764798,"I was satisfied with my ability to do things for fun at home (like reading, listening to music, etc.) in past 7 days [PROMIS]",36210656,Survey terms not yet categorized,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Hierarchy,C,LP248772-8
40764798,"I was satisfied with my ability to do things for fun at home (like reading, listening to music, etc.) in past 7 days [PROMIS]",45876126,Patient Reported Outcomes Measurement System (PROMIS) survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY.PROMIS
45876126,Patient Reported Outcomes Measurement System (PROMIS) survey,45876096,Survey,Is a,1970-01-01,2099-12-31,NA,Observation,LOINC,LOINC Class,C,SURVEY
